wines_name,keywords_name,group_name
'Giulio Ferrari' Riserva del Fondatore,citrus,citrus_fruit
'Giulio Ferrari' Riserva del Fondatore,citrus zest,citrus_fruit
'Giulio Ferrari' Riserva del Fondatore,coffee,non_oak
'Giulio Ferrari' Riserva del Fondatore,coffee,oak
'Giulio Ferrari' Riserva del Fondatore,cream,microbio
'Giulio Ferrari' Riserva del Fondatore,green apple,tree_fruit
'Giulio Ferrari' Riserva del Fondatore,toast,microbio
'Giulio Ferrari' Riserva del Fondatore,toast,non_oak
'Giulio Ferrari' Riserva del Fondatore,toasted almond,non_oak
'Giulio Ferrari' Riserva del Fondatore,toasted bread,microbio
'Giulio Ferrari' Riserva del Fondatore Rosé,citrus,citrus_fruit
'Giulio Ferrari' Riserva del Fondatore Rosé,cream,microbio
'Giulio Ferrari' Riserva del Fondatore Rosé,toast,microbio
'Giulio Ferrari' Riserva del Fondatore Rosé,toast,non_oak
123 Brunello di Montalcino Riserva,coffee,non_oak
123 Brunello di Montalcino Riserva,coffee,oak
123 Brunello di Montalcino Riserva,cream,microbio
123 Brunello di Montalcino Riserva,toast,microbio
123 Brunello di Montalcino Riserva,toast,non_oak
123 Brunello di Montalcino Riserva,toasted nuts,non_oak
1694 Classification Red,coffee,non_oak
1694 Classification Red,coffee,oak
25 anni Montefalco Sagrantino,citrus,citrus_fruit
25 anni Montefalco Sagrantino,coffee,non_oak
25 anni Montefalco Sagrantino,coffee,oak
25 anni Montefalco Sagrantino,cream,microbio
25 anni Montefalco Sagrantino,toast,microbio
25 anni Montefalco Sagrantino,toast,non_oak
30 Year Old Tawny Port,coffee,non_oak
30 Year Old Tawny Port,coffee,oak
30 Year Old Tawny Port,toasted bread,microbio
30 Year Old Tawny Port,toasted nuts,non_oak
40 Anos Tawny Port,coffee,non_oak
40 Anos Tawny Port,coffee,oak
40 Years Old Tawny Port,coffee,non_oak
40 Years Old Tawny Port,coffee,oak
5 Puttonyos Aszú (Blue Label),citrus,citrus_fruit
5 Puttonyos Aszú (Blue Label),citrus zest,citrus_fruit
5 Puttonyos Aszú (Blue Label),coffee,non_oak
5 Puttonyos Aszú (Blue Label),coffee,oak
5 Puttonyos Aszú (Blue Label),cream,microbio
5 Puttonyos Aszú (Blue Label),green apple,tree_fruit
5 Puttonyos Aszú (Blue Label),hazelnut cream,non_oak
5 Puttonyos Aszú (Blue Label),toast,microbio
5 Puttonyos Aszú (Blue Label),toast,non_oak
5 Puttonyos Aszú (Blue Label),toasted almond,non_oak
5 Puttonyos Aszú (Blue Label),toasted bread,microbio
5 Puttonyos Aszú (Blue Label),toasted nuts,non_oak
5 Stelle Sfursat,citrus,citrus_fruit
5 Stelle Sfursat,coffee,non_oak
5 Stelle Sfursat,coffee,oak
5 Stelle Sfursat,cream,microbio
5 Stelle Sfursat,toast,microbio
5 Stelle Sfursat,toast,non_oak
50 & 50,coffee,non_oak
50 & 50,coffee,oak
50 & 50,cream,microbio
50 & 50,toast,microbio
50 & 50,toast,non_oak
50 Old Vines Vecchie Vigne Negroamaro,coffee,non_oak
50 Old Vines Vecchie Vigne Negroamaro,coffee,oak
6 Anime Puglia Rosso,citrus,citrus_fruit
6 Anime Puglia Rosso,coffee,non_oak
6 Anime Puglia Rosso,coffee,oak
6 Anime Puglia Rosso,toast,microbio
6 Anime Puglia Rosso,toast,non_oak
60 Sessantanni Old Vines Primitivo di Manduria,citrus,citrus_fruit
60 Sessantanni Old Vines Primitivo di Manduria,coffee,non_oak
60 Sessantanni Old Vines Primitivo di Manduria,coffee,oak
60 Sessantanni Old Vines Primitivo di Manduria,cream,microbio
60 Sessantanni Old Vines Primitivo di Manduria,toast,microbio
60 Sessantanni Old Vines Primitivo di Manduria,toast,non_oak
80 Vecchie Vigne Primitivo di Manduria Old Vines,coffee,non_oak
80 Vecchie Vigne Primitivo di Manduria Old Vines,coffee,oak
80 Vecchie Vigne Primitivo di Manduria Old Vines,cream,microbio
802.A Superblend,citrus,citrus_fruit
802.A Superblend,coffee,non_oak
802.A Superblend,coffee,oak
802.A Superblend,toast,microbio
802.A Superblend,toast,non_oak
888 Pinotage Gold,coffee,non_oak
888 Pinotage Gold,coffee,oak
888 Pinotage Gold,cream,microbio
A50 Amarone della Valpolicella,coffee,non_oak
A50 Amarone della Valpolicella,coffee,oak
ARTEMIS Cabernet Sauvignon,citrus,citrus_fruit
ARTEMIS Cabernet Sauvignon,coffee,non_oak
ARTEMIS Cabernet Sauvignon,coffee,oak
ARTEMIS Cabernet Sauvignon,cream,microbio
ARTEMIS Cabernet Sauvignon,ground coffee,earth
ARTEMIS Cabernet Sauvignon,toast,microbio
ARTEMIS Cabernet Sauvignon,toast,non_oak
ARTEMIS Cabernet Sauvignon,toasted almond,non_oak
ARTEMIS Cabernet Sauvignon,toasted nuts,non_oak
Academia Purcari Rară Neagră,toast,microbio
Academia Purcari Rară Neagră,toast,non_oak
Aconcagua Valley,citrus,citrus_fruit
Aconcagua Valley,coffee,non_oak
Aconcagua Valley,coffee,oak
Aconcagua Valley,cream,microbio
Aconcagua Valley,green apple,tree_fruit
Aconcagua Valley,toast,microbio
Aconcagua Valley,toast,non_oak
Adrianna Vineyard Fortuna Terrae Malbec,coffee,non_oak
Adrianna Vineyard Fortuna Terrae Malbec,coffee,oak
Adrianna Vineyard Fortuna Terrae Malbec,cream,microbio
Adrianna Vineyard Fortuna Terrae Malbec,toast,microbio
Adrianna Vineyard Fortuna Terrae Malbec,toast,non_oak
Adrianna Vineyard Mundus Bacillus Terrae Malbec,coffee,non_oak
Adrianna Vineyard Mundus Bacillus Terrae Malbec,coffee,oak
Adrianna Vineyard Mundus Bacillus Terrae Malbec,cream,microbio
Aegusa,toasted almond,non_oak
Ai Suma Barbera d'Asti,coffee,non_oak
Ai Suma Barbera d'Asti,coffee,oak
Ai Suma Barbera d'Asti,cream,microbio
Ai Suma Barbera d'Asti,toast,microbio
Ai Suma Barbera d'Asti,toast,non_oak
Aile d'Argent Blanc Bordeaux,citrus,citrus_fruit
Aile d'Argent Blanc Bordeaux,citrus zest,citrus_fruit
Aile d'Argent Blanc Bordeaux,coffee,non_oak
Aile d'Argent Blanc Bordeaux,coffee,oak
Aile d'Argent Blanc Bordeaux,cream,microbio
Aile d'Argent Blanc Bordeaux,green apple,tree_fruit
Aile d'Argent Blanc Bordeaux,toast,microbio
Aile d'Argent Blanc Bordeaux,toast,non_oak
Aile d'Argent Blanc Bordeaux,toasted bread,microbio
Alabaster,coffee,non_oak
Alabaster,coffee,oak
Alabaster,cream,microbio
Alabaster,toast,microbio
Alabaster,toast,non_oak
Alexander Valley Cabernet Sauvignon,citrus,citrus_fruit
Alexander Valley Cabernet Sauvignon,coffee,non_oak
Alexander Valley Cabernet Sauvignon,coffee,oak
Alexander Valley Cabernet Sauvignon,cream,microbio
Alexander Valley Cabernet Sauvignon,green apple,tree_fruit
Alexander Valley Cabernet Sauvignon,toast,microbio
Alexander Valley Cabernet Sauvignon,toast,non_oak
Alexander Valley Cabernet Sauvignon,toasted bread,microbio
Alexander Valley Cabernet Sauvignon,toasted marshmallow,oak
Almaviva,coffee,non_oak
Almaviva,coffee,oak
Almaviva,cream,microbio
Almaviva,toast,microbio
Almaviva,toast,non_oak
Altagracia Cabernet Sauvignon,coffee,non_oak
Altagracia Cabernet Sauvignon,coffee,oak
Altagracia Cabernet Sauvignon,cream,microbio
Altagracia Cabernet Sauvignon,toast,microbio
Altagracia Cabernet Sauvignon,toast,non_oak
Altagracia Cabernet Sauvignon,toasted almond,non_oak
Altero Brunello di Montalcino,citrus,citrus_fruit
Altero Brunello di Montalcino,coffee,non_oak
Altero Brunello di Montalcino,coffee,oak
Altero Brunello di Montalcino,cream,microbio
Altero Brunello di Montalcino,toast,microbio
Altero Brunello di Montalcino,toast,non_oak
Altura,coffee,non_oak
Altura,coffee,oak
Altura,cream,microbio
Altura Máxima Malbec,coffee,non_oak
Altura Máxima Malbec,coffee,oak
Altura Máxima Malbec,toast,microbio
Altura Máxima Malbec,toast,non_oak
Alàuda,coffee,non_oak
Alàuda,coffee,oak
Alàuda,toast,microbio
Alàuda,toast,non_oak
Amancio,coffee,non_oak
Amancio,coffee,oak
Amancio,cream,microbio
Amancio,toast,microbio
Amancio,toast,non_oak
Amarone Classico Monte Danieli,coffee,non_oak
Amarone Classico Monte Danieli,coffee,oak
Amarone Classico Monte Danieli,cream,microbio
Amarone Della Valpolicella Marta Galli,coffee,non_oak
Amarone Della Valpolicella Marta Galli,coffee,oak
Amarone Senza Titolo,coffee,non_oak
Amarone Senza Titolo,coffee,oak
Amarone della Valpolicella,citrus,citrus_fruit
Amarone della Valpolicella,citrus,citrus_fruit
Amarone della Valpolicella,citrus,citrus_fruit
Amarone della Valpolicella,coffee,non_oak
Amarone della Valpolicella,coffee,non_oak
Amarone della Valpolicella,coffee,non_oak
Amarone della Valpolicella,coffee,non_oak
Amarone della Valpolicella,coffee,non_oak
Amarone della Valpolicella,coffee,non_oak
Amarone della Valpolicella,coffee,non_oak
Amarone della Valpolicella,coffee,oak
Amarone della Valpolicella,coffee,oak
Amarone della Valpolicella,coffee,oak
Amarone della Valpolicella,coffee,oak
Amarone della Valpolicella,coffee,oak
Amarone della Valpolicella,coffee,oak
Amarone della Valpolicella,coffee,oak
Amarone della Valpolicella,cream,microbio
Amarone della Valpolicella,cream,microbio
Amarone della Valpolicella,cream,microbio
Amarone della Valpolicella,cream,microbio
Amarone della Valpolicella,cream,microbio
Amarone della Valpolicella,toast,microbio
Amarone della Valpolicella,toast,microbio
Amarone della Valpolicella,toast,microbio
Amarone della Valpolicella,toast,microbio
Amarone della Valpolicella,toast,non_oak
Amarone della Valpolicella,toast,non_oak
Amarone della Valpolicella,toast,non_oak
Amarone della Valpolicella,toast,non_oak
Amarone della Valpolicella,toasted bread,microbio
Amarone della Valpolicella Classico,citrus,citrus_fruit
Amarone della Valpolicella Classico,citrus,citrus_fruit
Amarone della Valpolicella Classico,citrus,citrus_fruit
Amarone della Valpolicella Classico,citrus,citrus_fruit
Amarone della Valpolicella Classico,citrus,citrus_fruit
Amarone della Valpolicella Classico,citrus,citrus_fruit
Amarone della Valpolicella Classico,citrus zest,citrus_fruit
Amarone della Valpolicella Classico,citrus zest,citrus_fruit
Amarone della Valpolicella Classico,coffee,non_oak
Amarone della Valpolicella Classico,coffee,non_oak
Amarone della Valpolicella Classico,coffee,non_oak
Amarone della Valpolicella Classico,coffee,non_oak
Amarone della Valpolicella Classico,coffee,non_oak
Amarone della Valpolicella Classico,coffee,non_oak
Amarone della Valpolicella Classico,coffee,non_oak
Amarone della Valpolicella Classico,coffee,non_oak
Amarone della Valpolicella Classico,coffee,non_oak
Amarone della Valpolicella Classico,coffee,non_oak
Amarone della Valpolicella Classico,coffee,oak
Amarone della Valpolicella Classico,coffee,oak
Amarone della Valpolicella Classico,coffee,oak
Amarone della Valpolicella Classico,coffee,oak
Amarone della Valpolicella Classico,coffee,oak
Amarone della Valpolicella Classico,coffee,oak
Amarone della Valpolicella Classico,coffee,oak
Amarone della Valpolicella Classico,coffee,oak
Amarone della Valpolicella Classico,coffee,oak
Amarone della Valpolicella Classico,coffee,oak
Amarone della Valpolicella Classico,cream,microbio
Amarone della Valpolicella Classico,cream,microbio
Amarone della Valpolicella Classico,cream,microbio
Amarone della Valpolicella Classico,cream,microbio
Amarone della Valpolicella Classico,cream,microbio
Amarone della Valpolicella Classico,cream,microbio
Amarone della Valpolicella Classico,cream,microbio
Amarone della Valpolicella Classico,cream,microbio
Amarone della Valpolicella Classico,cream,microbio
Amarone della Valpolicella Classico,cream,microbio
Amarone della Valpolicella Classico,green apple,tree_fruit
Amarone della Valpolicella Classico,green apple,tree_fruit
Amarone della Valpolicella Classico,toast,microbio
Amarone della Valpolicella Classico,toast,microbio
Amarone della Valpolicella Classico,toast,microbio
Amarone della Valpolicella Classico,toast,microbio
Amarone della Valpolicella Classico,toast,microbio
Amarone della Valpolicella Classico,toast,microbio
Amarone della Valpolicella Classico,toast,microbio
Amarone della Valpolicella Classico,toast,microbio
Amarone della Valpolicella Classico,toast,microbio
Amarone della Valpolicella Classico,toast,non_oak
Amarone della Valpolicella Classico,toast,non_oak
Amarone della Valpolicella Classico,toast,non_oak
Amarone della Valpolicella Classico,toast,non_oak
Amarone della Valpolicella Classico,toast,non_oak
Amarone della Valpolicella Classico,toast,non_oak
Amarone della Valpolicella Classico,toast,non_oak
Amarone della Valpolicella Classico,toast,non_oak
Amarone della Valpolicella Classico,toast,non_oak
Amarone della Valpolicella Classico,toasted almond,non_oak
Amarone della Valpolicella Classico,toasted bread,microbio
Amarone della Valpolicella Classico,toasted nuts,non_oak
Amarone della Valpolicella Classico,toasted nuts,non_oak
Amarone della Valpolicella Classico Mater,coffee,non_oak
Amarone della Valpolicella Classico Mater,coffee,oak
Amarone della Valpolicella Classico Mater,toast,microbio
Amarone della Valpolicella Classico Mater,toast,non_oak
Amarone della Valpolicella Classico Riserva,citrus,citrus_fruit
Amarone della Valpolicella Classico Riserva (Sergio Zenato),coffee,non_oak
Amarone della Valpolicella Classico Riserva (Sergio Zenato),coffee,oak
Amarone della Valpolicella Classico Riserva (Sergio Zenato),cream,microbio
Amarone della Valpolicella Classico Riserva (Sergio Zenato),green apple,tree_fruit
Amarone della Valpolicella Classico Riserva (Sergio Zenato),ground coffee,earth
Amarone della Valpolicella Monte Lodoletta,citrus,citrus_fruit
Amarone della Valpolicella Monte Lodoletta,coffee,non_oak
Amarone della Valpolicella Monte Lodoletta,coffee,oak
Amarone della Valpolicella Monte Lodoletta,cream,microbio
Amarone della Valpolicella Monte Lodoletta,toast,microbio
Amarone della Valpolicella Monte Lodoletta,toast,non_oak
Amarone della Valpolicella Riserva,citrus,citrus_fruit
Amarone della Valpolicella Riserva,coffee,non_oak
Amarone della Valpolicella Riserva,coffee,oak
Amarone della Valpolicella Riserva,cream,microbio
Amarone della Valpolicella Vigna Garzon,citrus,citrus_fruit
Amarone della Valpolicella Vigna Garzon,coffee,non_oak
Amarone della Valpolicella Vigna Garzon,coffee,oak
Amarone della Valpolicella Vigna Garzon,cream,microbio
