ratings_average,country_code,country_name
4.6,it,Italie
4.4,au,Australie
4.4,it,Italie
4.2,it,Italie
4.6,it,Italie
4.5,it,Italie
4.5,it,Italie
4.3,it,Italie
4.4,it,Italie
4.3,it,Italie
4.3,us,États-Unis
4.4,it,Italie
4.4,ar,Argentine
4.4,ar,Argentine
4.5,it,Italie
4.2,es,Espagne
4.4,fr,France
4.5,us,États-Unis
4.6,us,États-Unis
4.3,us,États-Unis
4.6,fr,France
4.6,cl,Chili
4.3,it,Italie
4.5,us,États-Unis
4.6,it,Italie
4.6,us,États-Unis
4.3,us,États-Unis
4.5,us,États-Unis
4.4,fr,France
4.4,au,Australie
4.6,us,États-Unis
4.3,it,Italie
4.3,it,Italie
4.5,us,États-Unis
4.3,it,Italie
4.4,it,Italie
4.3,it,Italie
4.3,it,Italie
4.4,fr,France
4.4,fr,France
4.4,es,Espagne
4.5,es,Espagne
4.5,es,Espagne
4.7,us,États-Unis
4.4,us,États-Unis
4.3,it,Italie
4.4,fr,France
4.4,it,Italie
4.4,it,Italie
4.5,fr,France
4.4,it,Italie
4.3,it,Italie
4.5,it,Italie
4.5,us,États-Unis
4.5,us,États-Unis
4.6,us,États-Unis
4.5,us,États-Unis
4.4,it,Italie
4.4,it,Italie
4.5,it,Italie
4.6,fr,France
4.5,za,Afrique du Sud
4.3,fr,France
4.5,es,Espagne
4.3,fr,France
4.3,es,Espagne
4.6,es,Espagne
4.3,it,Italie
4.4,it,Italie
4.5,it,Italie
4.4,it,Italie
4.4,it,Italie
4.4,es,Espagne
4.3,es,Espagne
4.4,it,Italie
4.6,cl,Chili
4.4,it,Italie
4.2,it,Italie
4.4,it,Italie
4.4,fr,France
4.4,fr,France
4.4,fr,France
4.3,es,Espagne
4.3,it,Italie
4.4,it,Italie
4.4,it,Italie
4.4,fr,France
4.5,za,Afrique du Sud
4.4,za,Afrique du Sud
4.4,it,Italie
4.5,it,Italie
4.3,it,Italie
4.2,ar,Argentine
4.5,fr,France
4.6,fr,France
4.4,fr,France
4.4,us,États-Unis
4.6,us,États-Unis
4.3,it,Italie
4.3,it,Italie
4.4,fr,France
4.4,fr,France
4.3,it,Italie
4.3,it,Italie
4.3,fr,France
4.5,us,États-Unis
4.5,us,États-Unis
4.4,fr,France
4.2,fr,France
4.5,za,Afrique du Sud
4.5,cl,Chili
4.2,fr,France
4.6,es,Espagne
