wines_taste,avg_ratings_average,avg_acidity,avg_intensity,avg_sweetness,avg_tannin
candied ginger,4.7,3.31,4.76,1.92,3.2
yellow apple,4.6,2.88,4.36,2.08,2.99
white nectarine,4.6,3.53,4.53,1.65,4.08
matcha,4.6,3.06,4.26,1.9,2.78
fresh coconut,4.6,4.12,3.99,1.67,4.12
fresh asphalt,4.6,3.28,4.75,1.94,3.15
dried red chili,4.6,3.07,4.7,1.81,3.55
yellow raisin,4.5,2.98,4.24,2.26,3.1
wild iris,4.5,3.48,3.49,2.08,3.12
wild blueberry,4.5,3.67,4.09,1.77,3.49
wet slate,4.5,3.63,4.19,1.76,3.5
wet gravel,4.5,3.67,4.13,1.78,3.57
wet concrete,4.5,3.7,4.03,1.71,3.56
walnut oil,4.5,3.73,4.26,1.76,3.49
volcanic rock,4.5,3.42,4.45,1.93,3.41
tropical,4.5,3.51,4.12,1.87,3.45
toasted nuts,4.5,3.5,4.03,1.85,3.37
toasted marshmallow,4.5,3.37,4.31,1.78,3.25
tangerine,4.5,3.59,3.95,1.87,3.42
sweet and sour sauce,4.5,3.69,3.93,1.84,3.53
sugarplum,4.5,2.74,4.07,2.22,3.07
sourdough,4.5,3.28,4.07,2.02,3.17
salted butter,4.5,3.49,4.25,1.92,3.46
rubber cement,4.5,2.64,4.76,2.58,2.9
rooibos,4.5,3.45,4.02,1.81,3.3
roasted pepper,4.5,3.51,4.19,1.79,3.5
roasted hazelnut,4.5,3.53,3.84,1.96,3.44
red beet,4.5,3.73,3.8,1.88,3.48
raspberry sauce,4.5,3.65,3.9,1.81,3.42
radicchio,4.5,3.61,3.74,1.75,3.55
quinine,4.5,3.41,4.04,1.79,3.41
pie crust,4.5,3.5,4.29,1.75,3.41
petroleum,4.5,3.57,4.04,1.84,3.44
peony,4.5,3.81,3.64,1.79,3.35
pastry,4.5,3.49,4.0,1.89,3.32
pastrami,4.5,3.72,3.97,1.75,3.44
nectarine,4.5,3.52,4.13,1.84,3.42
medjool date,4.5,3.04,4.41,2.52,2.86
maple syrup,4.5,3.47,4.13,1.87,3.39
mandarin orange,4.5,3.67,3.94,1.82,3.66
macadamia nut,4.5,2.78,4.66,2.1,3.02
lemon grass,4.5,3.79,4.05,1.73,3.57
lanolin,4.5,3.62,4.4,1.76,3.56
lager,4.5,3.45,4.1,1.81,3.51
key lime,4.5,3.12,4.58,1.79,3.23
kerosene,4.5,3.39,4.24,1.96,3.33
jalapeno,4.5,3.56,4.2,1.79,3.48
huckleberry,4.5,3.5,4.19,1.85,3.39
honeydew melon,4.5,2.7,4.41,2.41,2.8
hazelnut cream,4.5,3.72,3.98,1.86,3.6
gun smoke,4.5,3.88,3.97,1.83,3.53
guava,4.5,3.48,4.05,1.89,3.42
ground coffee,4.5,3.55,4.05,1.85,3.42
grilled pineapple,4.5,3.21,4.1,2.25,3.38
green pear,4.5,2.79,4.4,2.52,2.87
green mango,4.5,2.6,4.04,2.35,2.86
green fig,4.5,3.34,4.42,2.14,3.33
green cardamom,4.5,3.67,4.02,1.79,3.71
green bean,4.5,3.32,4.13,1.78,3.26
grapefruit pith,4.5,4.04,4.08,1.67,3.96
granite dust,4.5,3.86,4.15,1.62,3.95
graham cracker,4.5,3.5,4.47,1.79,3.42
gardenia,4.5,3.66,4.14,1.84,3.4
fudge,4.5,3.48,4.16,1.95,3.44
fruit roll-up,4.5,3.06,4.18,2.64,3.02
fruit punch,4.5,3.44,4.14,1.87,3.44
fresh-cut grass,4.5,3.58,3.98,1.84,3.45
fresh grapes,4.5,3.31,3.93,2.01,3.31
fresh bread,4.5,3.72,4.08,1.72,3.65
elderflower,4.5,3.7,3.94,1.83,3.55
dragon fruit,4.5,3.87,4.06,1.75,3.68
dessert dust,4.5,3.98,3.39,1.63,3.66
curry spice,4.5,3.58,4.36,1.71,3.66
curd,4.5,3.88,3.9,1.67,3.82
creme brulee,4.5,3.65,4.19,1.83,3.47
cotton candy,4.5,3.52,4.06,1.9,3.39
coconut oil,4.5,3.28,4.37,2.02,3.23
cocoa nib,4.5,3.58,4.28,1.82,3.51
cherry cola,4.5,3.58,4.02,1.81,3.43
chamomile,4.5,3.69,3.94,1.75,3.48
celery,4.5,3.6,4.05,1.83,3.5
cat's pee,4.5,3.75,4.16,1.69,3.77
castelvetrano olive,4.5,3.8,4.07,1.68,4.05
caramel popcorn,4.5,3.8,3.98,1.77,3.43
cantaloupe,4.5,3.41,4.27,1.9,3.33
candy-cap mushroom,4.5,3.66,3.64,1.78,3.03
buttered popcorn,4.5,3.49,4.37,1.75,3.43
burnt sugar,4.5,3.64,3.92,1.81,3.5
bubblegum,4.5,3.57,3.99,1.92,3.42
brown bread,4.5,3.5,4.05,1.93,3.43
blackcurrant jam,4.5,3.35,4.15,1.97,3.35
blackberry sauce,4.5,3.35,4.58,1.94,3.28
black walnut,4.5,3.49,4.09,1.98,3.39
black raisin,4.5,3.42,4.1,2.04,3.33
biscuit,4.5,3.53,4.04,1.88,3.42
berry sauce,4.5,3.71,4.25,1.81,3.65
baked apple,4.5,3.46,4.18,1.9,3.24
bacon fat,4.5,3.56,4.07,1.83,3.46
baby's breath,4.5,3.66,4.0,1.7,3.48
apricot jam,4.5,3.58,3.95,1.97,3.39
apple blossom,4.5,3.45,4.09,1.85,3.36
aleppo pepper,4.5,3.03,4.42,2.15,3.04
yogurt,4.4,3.74,3.9,1.78,3.48
yellow plum,4.4,3.67,3.85,1.69,3.75
yellow peach,4.4,4.06,3.57,1.7,3.58
yeast,4.4,3.56,4.0,1.87,3.39
wood varnish,4.4,3.62,4.02,1.73,3.53
wood smoke,4.4,3.58,4.05,1.84,3.48
wild strawberry,4.4,3.82,3.74,1.8,3.42
white pepper,4.4,3.58,3.92,1.86,3.39
white peach,4.4,3.46,4.13,1.9,3.55
white cherry,4.4,3.91,3.28,1.64,3.44
wheat grass,4.4,3.7,3.98,1.66,3.41
wet asphalt,4.4,4.01,3.97,1.68,3.85
wax,4.4,3.63,3.96,1.84,3.5
watermelon,4.4,3.68,3.93,1.88,3.48
walnut,4.4,3.58,3.99,1.85,3.48
violet,4.4,3.59,3.89,1.88,3.36
vanilla bean,4.4,3.57,4.14,1.84,3.46
vanilla,4.4,3.53,3.9,1.92,3.31
underbrush,4.4,3.72,3.85,1.82,3.48
truffle,4.4,3.69,3.86,1.85,3.44
tree bark,4.4,3.64,3.89,1.81,3.48
tomato leaf,4.4,3.59,3.89,1.82,3.44
tomato,4.4,3.59,3.9,1.86,3.45
toffee,4.4,3.51,4.05,1.9,3.42
tobacco leaf,4.4,3.65,3.94,1.83,3.51
tobacco,4.4,3.55,3.9,1.91,3.33
toasted bread,4.4,3.6,3.99,1.83,3.47
toasted almond,4.4,3.61,4.06,1.79,3.54
toast,4.4,3.56,3.93,1.87,3.37
thyme,4.4,3.57,3.94,1.85,3.41
thai basil,4.4,3.63,3.56,1.77,3.32
teriyaki,4.4,3.56,4.08,1.9,3.4
tarragon,4.4,3.59,4.02,1.81,3.5
tar,4.4,3.61,3.94,1.87,3.45
tamarind candy,4.4,2.4,4.23,2.65,2.62
tamarind,4.4,3.57,4.01,1.93,3.46
szechuan peppercorn,4.4,3.76,3.93,1.71,3.66
sweet tobacco,4.4,3.57,3.96,1.88,3.44
sweaty saddle,4.4,3.89,3.82,1.67,3.59
sweaty,4.4,3.75,3.99,1.77,3.52
sun-dried tomato,4.4,3.49,3.99,1.95,3.4
strawberry sauce,4.4,3.36,3.84,2.16,3.26
strawberry,4.4,3.61,3.85,1.88,3.33
straw,4.4,3.57,4.01,1.88,3.42
stone fruit,4.4,3.52,4.03,1.84,3.4
stone,4.4,3.61,3.93,1.83,3.4
stewed apricot,4.4,3.59,4.46,1.8,3.82
starfruit,4.4,3.72,3.88,1.77,3.43
star anise,4.4,3.6,3.97,1.85,3.46
spiced plum,4.4,3.48,4.14,1.85,3.42
spice cake,4.4,3.41,4.03,1.92,3.35
sourdough yeast,4.4,4.22,4.2,1.68,4.24
sour plum,4.4,3.75,3.89,1.83,3.52
sour cherry,4.4,3.63,3.87,1.88,3.42
smoked meats,4.4,3.54,4.03,1.84,3.42
smoke,4.4,3.57,3.88,1.9,3.32
slate,4.4,3.51,4.1,1.83,3.43
seashell,4.4,3.62,3.99,1.88,3.59
savory,4.4,3.62,3.89,1.85,3.41
sassafras,4.4,3.55,4.27,1.95,3.38
sandalwood,4.4,3.62,3.92,1.85,3.44
salt,4.4,3.58,3.99,1.84,3.44
saline,4.4,3.68,3.87,1.79,3.48
sage,4.4,3.6,3.97,1.86,3.46
rubber,4.4,3.59,3.93,1.84,3.48
rosemary,4.4,3.56,3.94,1.86,3.41
rose water,4.4,4.04,3.77,1.73,3.71
rose petal,4.4,3.84,3.83,1.8,3.52
rose hip,4.4,3.88,3.83,1.77,3.62
roasted tomato,4.4,3.69,3.64,1.68,3.57
roasted plum,4.4,3.4,4.14,1.85,3.35
roasted meat,4.4,3.51,3.97,1.88,3.38
roasted almond,4.4,3.51,4.01,1.92,3.41
ripe strawberry,4.4,3.69,3.82,1.86,3.34
ripe blackberry,4.4,3.45,4.09,1.9,3.41
rhubarb,4.4,3.66,3.93,1.83,3.45
red-berry jam,4.4,3.25,4.11,2.12,3.2
red plum,4.4,3.66,3.9,1.85,3.44
red licorice,4.4,3.59,4.03,1.82,3.47
red huckleberry,4.4,3.82,3.28,1.71,3.58
red fruit,4.4,3.58,3.87,1.89,3.33
red currant,4.4,3.62,3.9,1.86,3.4
red cherry,4.4,3.64,3.84,1.87,3.36
red bell pepper,4.4,3.47,4.18,1.83,3.45
raspberry,4.4,3.59,3.86,1.89,3.32
raisin,4.4,3.48,3.99,1.96,3.35
quince paste,4.4,3.59,3.91,1.87,3.5
quince,4.4,3.51,3.98,1.83,3.43
prune,4.4,3.52,3.95,1.94,3.35
potting soil,4.4,3.72,3.91,1.77,3.53
potpourri,4.4,3.76,3.86,1.8,3.52
pomegranate,4.4,3.66,3.89,1.83,3.42
plum sauce,4.4,3.42,4.11,1.92,3.37
plum,4.4,3.53,3.91,1.92,3.32
plastic,4.4,3.58,4.16,1.85,3.48
pipe tobacco,4.4,3.63,4.0,1.86,3.51
pink peppercorn,4.4,3.51,4.05,1.95,3.38
pink lady apple,4.4,3.83,3.25,1.63,3.61
pink grapefruit,4.4,3.68,3.67,1.73,3.57
pineapple,4.4,3.6,4.04,1.86,3.44
pine nut,4.4,3.21,3.97,2.22,3.24
pine bark,4.4,3.35,3.99,1.91,3.38
petrichor,4.4,3.59,3.97,1.83,3.42
persimmon,4.4,3.41,4.13,1.99,3.31
perfume,4.4,3.67,3.87,1.86,3.4
pepper,4.4,3.53,3.91,1.91,3.33
pencil shavings,4.4,3.56,4.04,1.83,3.49
pencil lead,4.4,3.55,4.08,1.79,3.49
pecan,4.4,3.59,4.11,1.89,3.51
pear,4.4,3.51,4.02,1.88,3.4
peanut brittle,4.4,3.38,4.73,1.6,3.29
peanut,4.4,3.55,4.09,1.87,3.44
peach preserves,4.4,3.17,3.84,2.18,3.25
peach,4.4,3.56,3.99,1.91,3.39
passion fruit,4.4,3.61,4.01,1.86,3.48
parmesan cheese,4.4,3.41,4.14,2.09,3.26
papaya,4.4,3.37,4.06,2.03,3.29
oregano,4.4,3.61,3.86,1.84,3.46
orange zest,4.4,3.7,3.85,1.82,3.51
orange rind,4.4,3.69,3.88,1.81,3.48
orange peel,4.4,3.69,3.86,1.85,3.49
orange blossom,4.4,3.68,4.0,1.72,3.53
orange,4.4,3.66,3.89,1.87,3.45
oolong tea,4.4,3.81,4.02,1.8,3.64
olive tapenade,4.4,3.62,4.0,1.78,3.55
oil,4.4,3.56,3.98,1.9,3.41
oak,4.4,3.55,3.88,1.91,3.31
nutty,4.4,3.52,4.02,1.89,3.43
nutmeg,4.4,3.55,3.94,1.89,3.38
new leather,4.4,3.64,3.94,1.81,3.5
mustard seed,4.4,3.4,4.1,1.74,3.24
musk,4.4,3.64,3.93,1.83,3.44
mushroom,4.4,3.62,3.86,1.88,3.35
mulberry,4.4,3.47,4.05,1.87,3.39
morello cherry,4.4,3.53,3.9,1.93,3.38
molasses,4.4,3.47,4.1,1.92,3.37
mocha,4.4,3.5,4.0,1.92,3.38
mission fig,4.4,3.77,4.2,1.84,3.71
mirabelle plum,4.4,4.06,3.7,1.62,3.85
mint,4.4,3.59,3.91,1.88,3.38
minerals,4.4,3.6,3.88,1.88,3.35
milk chocolate,4.4,3.48,4.02,1.91,3.38
menthol,4.4,3.61,3.96,1.85,3.44
melon,4.4,3.55,4.03,1.91,3.45
marzipan,4.4,3.62,3.93,1.87,3.46
marmalade,4.4,3.46,4.02,1.94,3.38
marjoram,4.4,3.67,3.83,1.81,3.5
marionberry,4.4,3.55,4.22,1.81,3.3
maraschino cherry,4.4,3.63,3.91,1.87,3.44
mango,4.4,3.62,4.08,1.89,3.5
magnolia,4.4,3.79,3.89,1.86,3.36
mace,4.4,3.31,4.2,2.04,3.37
lychee,4.4,3.65,3.89,1.91,3.36
lithium grease,4.4,3.9,3.26,1.64,3.62
lime zest,4.4,3.31,4.0,2.18,2.61
lime peel,4.4,3.13,3.44,1.88,3.12
lime,4.4,3.7,3.98,1.75,3.55
lily,4.4,3.63,4.01,1.84,3.54
lilac,4.4,3.62,4.01,1.84,3.49
licorice,4.4,3.55,3.91,1.91,3.34
lemon zest,4.4,3.58,3.95,1.86,3.44
lemon peel,4.4,3.66,4.13,1.78,3.6
lemon curd,4.4,3.79,3.7,1.65,3.25
lemon,4.4,3.57,3.96,1.87,3.42
leather,4.4,3.57,3.88,1.9,3.32
lavender,4.4,3.64,3.95,1.82,3.48
kiwi,4.4,3.38,4.18,1.9,3.37
kalamata olive,4.4,3.21,4.1,2.03,3.16
juniper berry,4.4,3.61,3.9,1.84,3.45
juniper,4.4,3.56,3.98,1.84,3.42
jasmine,4.4,3.7,3.94,1.8,3.48
jam,4.4,3.49,3.96,1.93,3.33
jackfruit,4.4,3.51,3.94,1.9,3.39
iron,4.4,3.67,3.86,1.83,3.41
iris,4.4,3.74,3.97,1.83,3.61
incense smoke,4.4,3.76,3.62,1.73,3.42
incense,4.4,3.68,3.91,1.82,3.49
honeysuckle,4.4,3.65,4.15,1.85,3.56
honeycomb,4.4,3.09,4.14,2.14,3.03
honey,4.4,3.53,3.98,1.93,3.36
hoisin,4.4,3.59,4.05,1.81,3.42
hickory,4.4,3.49,4.21,1.87,3.45
hibiscus,4.4,3.69,3.88,1.82,3.51
hazelnut,4.4,3.57,3.97,1.87,3.46
hay,4.4,3.62,3.95,1.86,3.46
grilled meat,4.4,3.51,4.04,1.86,3.45
green pineapple,4.4,3.21,4.22,2.43,3.03
green peppercorn,4.4,3.65,4.2,1.79,3.63
green papaya,4.4,3.01,4.52,1.73,3.35
green melon,4.4,3.93,4.21,1.76,3.87
green herbs,4.4,3.66,3.91,1.78,3.49
green bell pepper,4.4,3.49,4.11,1.82,3.45
green apple,4.4,3.7,4.05,1.77,3.59
green almond,4.4,3.51,3.87,1.92,3.3
grass,4.4,3.58,3.96,1.84,3.41
graphite,4.4,3.56,3.97,1.84,3.44
grapefruit,4.4,3.5,4.04,1.88,3.38
grape jam,4.4,3.21,4.14,2.07,3.08
gooseberry,4.4,3.6,3.94,1.87,3.4
golden raisin,4.4,3.29,4.05,2.11,3.16
gingerbread,4.4,3.59,3.98,1.88,3.47
ginger,4.4,3.55,4.03,1.86,3.4
geranium,4.4,3.49,4.02,1.99,3.4
game,4.4,3.6,3.9,1.88,3.36
fruitcake,4.4,3.41,4.15,1.97,3.36
fruit cup,4.4,3.27,4.11,2.04,3.29
fresh strawberry,4.4,3.76,3.86,1.82,3.44
forest mushroom,4.4,3.83,3.96,1.72,3.8
forest floor,4.4,3.65,3.84,1.86,3.35
flint,4.4,3.64,3.92,1.8,3.46
fig,4.4,3.47,4.01,1.95,3.37
fennel seed,4.4,3.26,4.33,2.13,3.13
fennel,4.4,3.59,3.96,1.85,3.46
exotic spice,4.4,3.58,3.94,1.87,3.38
eucalyptus,4.4,3.55,3.96,1.88,3.41
espresso,4.4,3.51,4.01,1.91,3.42
earthy,4.4,3.58,3.87,1.89,3.33
earl grey tea,4.4,3.66,4.04,1.89,3.57
dried strawberry,4.4,3.78,3.83,1.88,3.44
dried rosemary,4.4,3.68,3.81,1.86,3.59
dried rose,4.4,3.86,3.81,1.8,3.56
dried mango,4.4,3.57,3.93,2.07,3.4
dried leaves,4.4,3.76,3.88,1.8,3.56
dried herbs,4.4,3.62,3.93,1.84,3.45
dried fruit,4.4,3.53,3.97,1.96,3.37
dried flowers,4.4,3.75,3.87,1.84,3.53
dried fig,4.4,3.52,4.01,1.95,3.42
dried cranberry,4.4,3.73,3.92,1.84,3.52
dried blueberry,4.4,3.44,4.13,1.94,3.38
dried blackberry,4.4,3.51,4.08,1.94,3.43
dried apricot,4.4,3.48,4.01,1.96,3.38
dill,4.4,3.53,4.11,1.88,3.46
dark fruit,4.4,3.52,3.92,1.91,3.33
dark chocolate,4.4,3.47,4.0,1.94,3.35
dandelion,4.4,3.84,4.06,1.74,3.74
cured meat,4.4,3.56,3.96,1.85,3.46
crushed rocks,4.4,3.7,4.06,1.72,3.57
crushed gravel,4.4,3.74,4.05,1.78,3.68
creme fraiche,4.4,3.26,4.35,1.77,3.19
cream,4.4,3.54,3.94,1.9,3.37
cranberry,4.4,3.62,3.88,1.87,3.37
cracked pepper,4.4,3.47,4.19,1.88,3.44
coriander,4.4,3.55,4.04,1.82,3.51
cola,4.4,3.6,3.93,1.86,3.4
coffee,4.4,3.52,3.93,1.93,3.34
coconut,4.4,3.45,4.1,1.9,3.4
